Função Hash,Percentual colisão encadeamento,Percentual colisão endereçamento aberto,Tamanho,Alfa,Tempo Construção Encadeamento,Número Comparações Construção Encadeamento,Tempo Construção Endereçamento Aberto,Número Comparações Construção Endereçamento Aberto,Tempo Consulta Encadeamento,Número Comparações Consulta Encadeamento,Tempo Consulta Endereçamento Aberto,Número Comparações Consulta Endereçamento Aberto,Número de Hits Encadeamento,Número de Hits Endereçamento Aberto
constant,0.98,0.98,50,1.0,3.266334533691406e-05,1225,0.0002369880676269,1225,0.0001606941223144,1614,0.0004832744598388,1579,36,36
constant,0.99,0.99,100,1.0,7.939338684082031e-05,4950,0.0011045932769775,4950,0.000676155090332,6163,0.0021345615386962,6088,76,76
constant,0.995,0.995,200,1.0,0.0001404285430908,19900,0.0080068111419677,19900,0.003230333328247,22921,0.0125746726989746,22755,167,167
constant,0.9966666666666668,0.9966666666666668,300,1.0,0.000209093093872,44850,0.0071923732757568,44850,0.0058364868164062,56854,0.0175495147705078,56630,225,225
constant,0.998,0.998,500,1.0,0.0003819465637207,124750,0.0232338905334472,124750,0.0114071369171142,153223,0.0393378734588623,152832,392,392
constant,0.9986666666666668,0.9986666666666668,750,1.0,0.0004286766052246,280875,0.0562725067138671,280875,0.0244128704071044,374577,0.0798912048339843,374077,501,501
constant,0.999,0.999,1000,1.0,0.0008153915405273,499500,0.0863590240478515,499500,0.0388693809509277,622918,0.1318733692169189,622163,756,756
constant,0.9993333333333332,0.9993333333333332,1500,1.0,0.0008261203765869,1124250,0.1836495399475097,1124250,0.0879881381988525,1441968,0.3175337314605713,1440882,1087,1087
constant,0.9995,0.9995,2000,1.0,0.0010974407196044,1999000,0.3371965885162353,1999000,0.1489131450653076,2350135,0.5395767688751221,2348498,1638,1638
constant,0.9996666666666667,0.9996666666666667,3000,1.0,0.002380847930908203,4498500,0.7636384963989258,4498500,0.3406639099121094,5330636,1.6685078144073486,5328155,2482,2482
